sealant,liner,side,liner_label,side_label,file,n_replicates,mean_release_cN_25mm_mean,mean_release_cN_25mm_std,mean_release_cN_25mm_median,noise_std_cN_25mm_median,noise_std_cN_25mm_max,noise_max_abs_cN_25mm_median,noise_max_abs_cN_25mm_max,peaks_0.5cN_mean,peaks_0.5cN_median,peaks_0.5cN_sum,peaks_0.5cN_std,peaks_1cN_mean,peaks_1cN_median,peaks_1cN_sum,peaks_1cN_std,peaks_1.4cN_mean,peaks_1.4cN_median,peaks_1.4cN_sum,peaks_1.4cN_std,peaks_2cN_mean,peaks_2cN_median,peaks_2cN_sum,peaks_2cN_std,peaks_3cN_mean,peaks_3cN_median,peaks_3cN_sum,peaks_3cN_std
C1E,crosil42,external,Crosil 42,outer,20250331_C1E_crosil42_external.csv,12,6.365715505369805,0.6299336674246686,6.52825888299029,0.06083202898978656,0.1360995409718691,0.1513642565755326,0.4415297821537829,12.083333333333334,11.0,145,10.148518327441904,2.5833333333333335,1.5,31,3.117642854737689,2.0,1.0,24,2.8919952219248852,1.1666666666666667,0.0,14,1.6422453217986943,0.5833333333333334,0.0,7,0.90033663737852
C1E,crosil42,internal,Crosil 42,inner,20250404_C1E_crosil42_internal.csv,10,3.867234037300989,1.1848143746854554,3.7168149136092277,0.060510509035835165,0.12302241001384809,0.14364392797313416,0.33363801386278,1.0,0.0,10,1.4142135623730951,0.4,0.0,4,0.6992058987801011,0.1,0.0,1,0.31622776601683794,0.0,0.0,0,0.0,0.0,0.0,0,0.0
C1E,dolpap,external,Dolpap,outer,20250617_C1E_dolpap_external.csv,10,4.86938881085286,0.2299930416788133,4.864742030725363,0.064633142401119,0.11358671351967957,0.15630588870442308,0.27373898460517504,4.9,1.5,49,7.766738197095498,0.9,0.0,9,1.728840330651992,0.2,0.0,2,0.6324555320336759,0.2,0.0,2,0.6324555320336759,0.1,0.0,1,0.31622776601683794
C1E,dolpap,internal,Dolpap,inner,20250617_C1E_dolpap_internal.csv,10,5.033677298901622,0.15657155988475477,5.032373759867159,0.07104341041245363,0.13405008241165187,0.174957261730429,0.3449213826299027,0.1,0.0,1,0.31622776601683794,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
C1E,rossella,external,Rossella,outer,20250318_C1E_rossella_external.csv,12,12.478868020572348,1.559105015103884,12.850615124417978,0.08037371866575593,0.34336062700739234,0.19095591733702919,0.9325488939474235,80.0,93.5,960,41.4004830889689,23.583333333333332,21.0,283,18.903863642283834,7.25,6.0,87,5.986727744846018,1.25,0.0,15,2.0056737702645644,0.3333333333333333,0.0,4,0.6513389472789296
C1E,rossella,internal,Rossella,inner,20250318_C1E_rossella_internal.csv,10,10.547502601082725,0.5360533920236339,10.408488718315672,0.03877158126934962,0.06212487052630428,0.08238099200206378,0.1642837896449159,39.3,22.0,393,43.909123324328746,13.7,3.5,137,19.154633904097462,5.7,0.0,57,9.322016949137135,1.1,0.0,11,2.5144029554194813,0.1,0.0,1,0.31622776601683794
C1EN,crosil42,external,Crosil 42,outer,20250519_C1EN_crosil42_external.csv,10,6.44456942695934,0.8095615711536331,6.166395989492526,0.09167949291100636,0.14248082391241765,0.21156503183586448,0.5290206092281596,3.0,1.0,30,4.4969125210773475,0.3,0.0,3,0.9486832980505138,0.2,0.0,2,0.6324555320336759,0.0,0.0,0,0.0,0.0,0.0,0,0.0
C1EN,crosil42,internal,Crosil 42,inner,20250519_C1EN_crosil42_internal.csv,10,7.976494820988663,2.318480623205885,7.168188561544101,0.07517619429724774,0.13372798449241452,0.2314322341190715,0.3251140730305382,22.3,16.5,223,25.280866722132416,5.1,1.5,51,7.4899933244296015,2.3,1.5,23,3.4334951418181574,0.7,0.0,7,1.0593499054713802,0.3,0.0,3,0.674948557710553
C1EN,dolpap,external,Dolpap,outer,20250516_C1EN_dolpap_external.csv,10,7.4770824669955145,0.4717240698116904,7.430469132234187,0.06769855286050816,0.22293133167064016,0.14835645917866716,0.6436197814555922,19.5,11.0,195,19.334770061558356,3.9,1.5,39,5.78215646046813,1.5,0.0,15,2.3213980461973533,0.3,0.0,3,0.9486832980505138,0.0,0.0,0,0.0
C1EN,dolpap,internal,Dolpap,inner,20250519_C1EN_dolpap_internal.csv,10,6.550329704126379,1.2724318374219898,6.2523066766548805,0.06749191566950463,0.12323117092443285,0.18046198267733826,0.266751566363075,26.0,19.5,260,24.77453890141606,8.2,4.0,82,10.685400216078843,4.1,1.5,41,6.172519744804386,1.9,0.0,19,3.2128215360057304,0.5,0.0,5,0.8498365855987975
