sealant,liner_label,side_label,n_replicates,mean_release_cN_25mm_mean,mean_release_cN_25mm_std,noise_std_cN_25mm_median,noise_max_abs_cN_25mm_max,peaks_0.5cN_mean,peaks_1cN_mean,peaks_1.4cN_mean,peaks_2cN_mean,peaks_3cN_mean,peaks_0.5cN_sum,peaks_1cN_sum,peaks_1.4cN_sum,peaks_2cN_sum,peaks_3cN_sum
U2E,Rossella,outer,10,238.44088372088405,73.87132584971219,0.05896659600922301,0.24471623176235044,42.6,42.5,42.3,42.0,41.5,426,425,423,420,415
U2E,Crosil 42,outer,10,17.82765478664762,15.557672194959007,0.07456287340458956,0.3314252940200719,71.4,48.6,37.3,28.5,19.6,714,486,373,285,196
T1EN,Rossella,outer,10,25.924933299721836,9.258326430274362,0.055696912272419505,0.19184359668279663,73.9,40.5,24.1,12.7,5.7,739,405,241,127,57
T2E,Dolpap,inner,10,7.042853829660866,0.7228336743855674,0.06515647379286546,0.2307070555907226,52.9,25.5,16.2,8.6,3.5,529,255,162,86,35
T1E,Rossella,inner,10,8.976987295505532,0.8322753875018308,0.08027528800077421,0.5682159074961718,66.9,27.8,11.7,6.1,2.5,669,278,117,61,25
C1EN,Rossella,inner,10,15.027697135807495,3.208883762508267,0.05884989494899282,0.47852452631019904,35.4,14.9,10.9,8.5,6.5,354,149,109,85,65
T2EN,Rossella,inner,10,12.869017410422998,2.128809267367473,0.07146588916479395,0.23087073934176922,27.7,12.6,9.3,6.7,4.5,277,126,93,67,45
T2E,Rossella,inner,10,10.778983756695064,1.526528334515112,0.06602224944483177,0.3722983518106543,25.2,11.6,8.7,5.8,2.0,252,116,87,58,20
C1E,Rossella,outer,12,12.478868020572348,1.559105015103884,0.08037371866575593,0.9325488939474235,80.0,23.583333333333332,7.25,1.25,0.3333333333333333,960,283,87,15,4
T2EN,Crosil 42,outer,10,8.287700938381699,0.8226064200640858,0.07218788270141283,0.4943762243128454,41.3,15.7,7.0,1.8,0.6,413,157,70,18,6
U2E,Dolpap,outer,10,8.38046054230761,1.3872911240947692,0.05804795477618885,0.24802431898566488,18.0,9.1,6.9,4.8,2.4,180,91,69,48,24
T2E,Crosil 42,outer,11,8.323346718932976,1.1696504242211812,0.07002523421202451,0.3535229225508491,27.363636363636363,12.090909090909092,6.545454545454546,3.727272727272727,2.4545454545454546,301,133,72,41,27
U2E,Crosil 42,inner,10,11.608841530290041,1.4330983519166733,0.06343039483932467,0.247685703436741,26.9,10.8,6.5,4.0,3.4,269,108,65,40,34
C1E,Rossella,inner,10,10.547502601082725,0.5360533920236339,0.03877158126934962,0.1642837896449159,39.3,13.7,5.7,1.1,0.1,393,137,57,11,1
C1EN,Dolpap,inner,10,6.550329704126379,1.2724318374219898,0.06749191566950463,0.266751566363075,26.0,8.2,4.1,1.9,0.5,260,82,41,19,5
