"1 _ 1",,,"1 _ 2",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0","-0,09441376","0,001125","0","-0,0006357829","0,001375","0","-0,0009536743","0,001375","0","-0,003814697","0,001","0","-0,00222524","0,001125","0","-0,003496806","0,00125","0","-0,00890096","0,00125","0","0,005245209","0,001375","0","0,0009536743","0,000625"
"0,01","-0,09330114","0,006625","0,01","0,0004768372","0,007125","0,01","-0,0009536743","0,0075","0,01","-0,005722046","0,006375","0,01","0,003655751","0,006625","0,01","-0,00333786","0,005875","0,01","-0,007311503","0,006375","0,01","0,0007947286","0,008875","0,01","-0,0006357829","0,006625"
"0,02","-0,08773804","0,018375","0,02","0,005245209","0,019","0,02","0,004132589","0,019","0,02","0","0,018375","0,02","0,00890096","0,018375","0,02","0,0009536743","0,017875","0,02","-0,001430511","0,018125","0,02","-0,00333786","0,019625","0,02","0,002066294","0,01775"
"0,03","-0,06151199","0,03475","0,03","0,02320608","0,035125","0,03","0,02717972","0,0345","0,03","0,02543131","0,0345","0,03","0,02717972","0,035","0,03","0,0184377","0,03425","0,03","0,0184377","0,03475","0,03","0,01001358","0,035","0,03","0,01907349","0,034"
"0,04","0,00333786","0,0555","0,04","0,05658467","0,05625","0,04","0,05880992","0,056375","0,04","0,06135305","0,055125","0,04","0,06357829","0,05575","0,04","0,05261103","0,055","0,04","0,055631","0,055625","0,04","0,04688899","0,057","0,04","0,05372365","0,055375"
"0,05","0,1109441","0,08125","0,05","0,08996328","0,08162501","0,05","0,08757909","0,08125","0,05","0,09504954","0,08125","0,05","0,09584427","0,081375","0,05","0,08916855","0,08125","0,05","0,09346008","0,080875","0,05","0,08742014","0,08175001","0,05","0,08980433","0,08050001"
"0,06","0,2530416","0,1085","0,06","0,1093547","0,10775","0,06","0,1101494","0,107875","0,06","0,1149178","0,10825","0,06","0,1133283","0,108375","0,06","0,108242","0,107875","0,06","0,114123","0,105875","0,06","0,1130104","0,107625","0,06","0,1074473","0,1065"
"0,07","0,4205704","0,137625","0,07","0,1128515","0,137375","0,07","0,1144409","0,137625","0,07","0,1120567","0,136875","0,07","0,1185735","0,137625","0,07","0,1085599","0,137375","0,07","0,1161893","0,137625","0,07","0,1225471","0,137625","0,07","0,1085599","0,1375"
