"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0","0,003019969","0,0005","0","-0,001430511","0,0005","0","-0,003973643","0,0005","0","-0,005404154","0,000375","0","0,00333786","0,0005","0","0,002543132","0,0005","0","-0,001430511","0,0005","0","0,0006357829","0,0005","0","0,002543132","0,0005","0","0,004609426","0,0005"
"0,01","0,002861023","0,005875","0,01","-0,0006357829","0,005375","0,01","-0,006357829","0,005375","0,01","-0,00667572","0,005375","0,01","0,0004768372","0,0055","0,01","0,004132589","0,005375","0,01","-0,001907349","0,0055","0,01","0,001430511","0,005375","0,01","0,00333786","0,005375","0,01","0,004609426","0,005625"
"0,02","0,006516775","0,017125","0,02","0,00333786","0,01675","0,02","-0,003496806","0,01675","0,02","-0,003814697","0,01675","0,02","0,00222524","0,01675","0,02","0,006834666","0,01675","0,02","0,0004768372","0,01675","0,02","0,006039937","0,01675","0,02","0,006993612","0,01675","0,02","0,006516775","0,017"
"0,03","0,02590815","0,0335","0,03","0,02129873","0,03325","0,03","0,0184377","0,03325","0,03","0,01446406","0,033125","0,03","0,01891454","0,03325","0,03","0,02209345","0,03325","0,03","0,01684825","0,03325","0,03","0,02352397","0,03325","0,03","0,02352397","0,03325","0,03","0,02272924","0,033375"
"0,04","0,06421407","0,054875","0,04","0,06008148","0,0545","0,04","0,06246567","0,054625","0,04","0,05372365","0,054625","0,04","0,05610784","0,05475","0,04","0,0576973","0,054625","0,04","0,05467733","0,05475","0,04","0,06135305","0,05475","0,04","0,06182988","0,054625","0,04","0,05976359","0,05475"
"0,05","0,1014074","0,08025","0,05","0,09997686","0,08000001","0,05","0,1071294","0,08000001","0,05","0,09552637","0,08000001","0,05","0,09520849","0,080125","0,05","0,09441376","0,080125","0,05","0,09504954","0,080125","0,05","0,1010895","0,080125","0,05","0,1039505","0,080125","0,05","0,09822845","0,08025"
"0,06","0,114123","0,10825","0,06","0,1157125","0,1085","0,06","0,1292229","0,108875","0,06","0,1138051","0,1085","0,06","0,1122157","0,10875","0,06","0,1093547","0,108625","0,06","0,1109441","0,10825","0,06","0,1177788","0,108625","0,06","0,1222293","0,108625","0,06","0,1134872","0,10875"
"0,07","0,1085599","0,137625","0,07","0,1090368","0,137625","0,07","0,1273155","0,13775","0,07","0,108242","0,137625","0,07","0,1098315","0,13775","0,07","0,1045863","0,13775","0,07","0,1045863","0,137625","0,07","0,1122157","0,137625","0,07","0,1180967","0,13775","0,07","0,1079241","0,137625"
"0,08","0,09679794","0,178875","0,08","0,09520849","0,17875","0,08","0,1153946","0,178875","0,08","0,09441376","0,178875","0,08","0,0983874","0,178875","0,08","0,09234747","0,178875","0,08","0,090758","0,178875","0,08","0,096639","0,178875","0,08","0,1042684","0,178875","0,08","0,096639","0,178875"
