"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0","-0,003973643","0,0005","0","0,008106232","0,0005","0","0,001748403","0,0005","0","0,001271566","0,0005","0","0,0006357829","0,0005","0","0,001430511","0,0005","0","0,00445048","0,0005","0","0,003019969","0,0005","0","0,0004768372","0,0005"
"0,01","-0,003496806","0,0055","0,01","0,00778834","0,0055","0,01","0,002066294","0,0055","0,01","0,001748403","0,0055","0,01","0,0001589457","0,005375","0,01","-0,0007947286","0,005875","0,01","0,003814697","0,005375","0,01","0,001271566","0,0055","0,01","0,004132589","0,005625"
"0,02","0,001430511","0,016875","0,02","0,01049042","0,016875","0,02","0,00445048","0,016875","0,02","0,005404154","0,016875","0,02","0,004609426","0,01675","0,02","0,0004768372","0,017125","0,02","0,00778834","0,01675","0,02","0,005245209","0,01675","0,02","0,009218852","0,017"
"0,03","0,01891454","0,03325","0,03","0,02717972","0,03325","0,03","0,02193451","0,03325","0,03","0,02082189","0,033375","0,03","0,02352397","0,03325","0,03","0,01955032","0,0335","0,03","0,02527237","0,03325","0,03","0,02352397","0,03325","0,03","0,0243187","0,033375"
"0,04","0,05578995","0,054625","0,04","0,06341934","0,054625","0,04","0,05896886","0,05475","0,04","0,05706151","0,05475","0,04","0,06103516","0,054625","0,04","0,0594457","0,055","0,04","0,0629425","0,054625","0,04","0,0594457","0,05475","0,04","0,05928675","0,05475"
"0,05","0,09632111","0,080125","0,05","0,1010895","0,080125","0,05","0,09584427","0,08000001","0,05","0,09743372","0,080125","0,05","0,1002947","0,080125","0,05","0,09870529","0,08050001","0,05","0,1034737","0,08000001","0,05","0,09632111","0,080125","0,05","0,09711584","0,08025"
"0,06","0,1134872","0,108625","0,06","0,1177788","0,10875","0,06","0,1125336","0,10825","0,06","0,114282","0,10825","0,06","0,1166662","0,108375","0,06","0,114282","0,1085","0,06","0,1196861","0,108","0,06","0,1117388","0,108375","0,06","0,111421","0,1085"
"0,07","0,108242","0,137625","0,07","0,1150767","0,13775","0,07","0,1090368","0,13775","0,07","0,1098315","0,13775","0,07","0,1117388","0,137625","0,07","0,1103083","0,13775","0,07","0,1111031","0,137625","0,07","0,1071294","0,13775","0,07","0,1047452","0,137625"
