figure,liner,liner_label,sealant,side,side_label,dataset_file,total_replicates_in_file,n_replicates,mean_release_cN_25mm_mean,mean_release_cN_25mm_sd,mean_release_cN_25mm_median,trace_samples_min,trace_samples_max,peak_count_1p4cN_mean,peak_count_1p4cN_sd,peak_count_1p4cN_sum,noise_std_cN_25mm_median,noise_max_abs_cN_25mm_max,instrument_peak_hz_median,filter_cutoff_hz_median
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,10,10,4.869356,0.230006,4.864677,3000,3000,0.200000,0.632456,2,0.064633,0.273739,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,10,10,5.033661,0.156575,5.032353,3000,3000,0.000000,0.000000,0,0.071043,0.344921,8.750000,7.000000
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,10,10,8.380429,1.387209,7.622591,3000,3000,3.200000,4.894441,32,0.058048,0.248024,5.000000,4.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,10,10,7.926349,0.728844,7.757217,3000,3000,0.000000,0.000000,0,0.059964,0.239758,6.250000,5.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,10,10,5.372958,0.266092,5.361344,1978,3000,0.300000,0.483046,3,0.059721,0.273751,7.500000,6.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,10,10,6.012038,0.747148,5.995572,2019,3000,1.600000,1.837873,16,0.063170,0.296598,5.000000,4.000000
4,dolpap,Dolpap,T2E,external,outer,20250509_T2E_dolpap_external.csv,10,10,6.997192,0.337692,6.951506,3000,3000,0.800000,1.229273,8,0.057983,0.400876,10.000000,8.000000
4,dolpap,Dolpap,T2E,internal,inner,20250507_T2E_dolpap_internal.csv,10,10,7.042857,0.722838,7.049800,3000,3000,3.700000,4.877385,37,0.065156,0.230707,22.500000,18.000000
5,dolpap,Dolpap,C1EN,external,outer,20250516_C1EN_dolpap_external.csv,10,10,7.477067,0.471688,7.430439,3000,3000,1.000000,1.632993,10,0.067699,0.643620,6.875000,5.500000
5,dolpap,Dolpap,C1EN,internal,inner,20250519_C1EN_dolpap_internal.csv,10,10,6.550350,1.272429,6.252236,2762,3000,3.100000,4.067486,31,0.067492,0.266752,6.875000,5.500000
6,dolpap,Dolpap,T1EN,external,outer,20250516_T1EN_dolpap_external.csv,10,10,8.354726,0.878030,8.369058,3000,3000,0.800000,1.619328,8,0.079728,0.476320,22.500000,18.000000
6,dolpap,Dolpap,T1EN,internal,inner,20250516_T1EN_dolpap_internal.csv,10,10,7.210816,1.281480,6.700679,3000,3000,0.800000,2.201010,8,0.063615,0.315962,16.250000,13.000000
7,dolpap,Dolpap,T2EN,external,outer,20250521_T2EN_dolpap_external.csv,10,10,7.620482,0.902050,7.562613,3000,3000,1.100000,1.852926,11,0.064511,0.333915,5.000000,4.000000
7,dolpap,Dolpap,T2EN,internal,inner,20250521_T2EN_dolpap_internal.csv,9,9,7.247910,0.531559,7.145455,3000,3000,1.111111,2.976762,10,0.055474,0.317948,7.500000,6.000000
8,rossella,Rossella,C1E,external,outer,20250318_C1E_rossella_external.csv,12,10,12.478882,1.559123,12.850611,3000,3000,4.300000,2.869379,43,0.080374,0.932549,13.383152,10.706522
8,rossella,Rossella,C1E,internal,inner,20250318_C1E_rossella_internal.csv,10,5,10.547502,0.536058,10.408487,3000,3000,5.600000,5.029911,28,0.038772,0.164284,16.000000,12.800000
9,rossella,Rossella,U2E,external,outer,20250602_U2E_rossella_external.csv,10,10,238.440515,73.869760,249.497222,1611,3000,12.300000,4.498148,123,0.058967,0.244716,5.625000,4.500000
9,rossella,Rossella,U2E,internal,inner,20250602_U2E_rossella_internal.csv,10,10,10.045937,0.283603,10.133713,3000,3000,0.100000,0.316228,1,0.070320,0.268805,8.750000,7.000000
10,rossella,Rossella,T1E,external,outer,20250423_T1E_rossella_external.csv,10,10,9.385515,0.532381,9.291368,3000,3000,0.200000,0.632456,2,0.055844,0.212965,7.386364,5.909091
10,rossella,Rossella,T1E,internal,inner,20250417_T1E_rossella_internal.csv,10,10,8.976990,0.832287,9.123226,3000,3000,5.600000,5.358275,56,0.080275,0.568216,19.375000,15.500000
11,rossella,Rossella,T2E,external,outer,20250416_T2E_rossella_external.csv,10,10,10.490578,0.813143,10.312403,3000,3000,0.400000,0.966092,4,0.063054,0.651100,6.875000,5.500000
11,rossella,Rossella,T2E,internal,inner,20250414_T2E_rossella_internal.csv,10,10,10.778992,1.526533,10.566968,3000,3000,3.000000,3.887301,30,0.066022,0.372298,7.500000,6.000000
12,rossella,Rossella,C1EN,external,outer,20250521_C1EN_rossella_external.csv,10,10,11.705608,1.567323,11.400216,3000,3000,0.600000,1.074968,6,0.055872,0.169353,6.875000,5.500000
12,rossella,Rossella,C1EN,internal,inner,20250521_C1EN_rossella_internal.csv,10,10,15.027693,3.208866,13.791797,3000,3000,2.300000,2.496664,23,0.058850,0.478525,8.750000,7.000000
13,rossella,Rossella,T1EN,external,outer,20250512_T1EN_rossella_external.csv,10,10,25.924935,9.258342,24.435555,3000,3000,7.700000,4.473378,77,0.055697,0.191844,8.125000,6.500000
13,rossella,Rossella,T1EN,internal,inner,20250514_T1EN_rossella_internal.csv,10,10,16.449651,4.783740,16.361624,3000,3000,2.000000,3.197221,20,0.071218,0.216862,8.750000,7.000000
14,rossella,Rossella,T2EN,external,outer,20250523_T2EN_rossella_external.csv,10,10,11.644244,0.647774,11.589970,3000,3000,0.100000,0.316228,1,0.067612,0.199394,6.250000,5.000000
14,rossella,Rossella,T2EN,internal,inner,20250523_T2EN_rossella_internal.csv,10,10,12.869178,2.129240,12.050147,3000,3000,2.400000,4.033196,24,0.071466,0.230871,7.500000,6.000000
15,crosil42,Crosil 42,C1E,external,outer,20250331_C1E_crosil42_external.csv,12,11,6.365608,0.630049,6.528258,922,3000,0.909091,0.943880,10,0.060832,0.441530,8.750000,7.000000
15,crosil42,Crosil 42,C1E,internal,inner,20250404_C1E_crosil42_internal.csv,10,10,3.867234,1.184819,3.716820,3000,3000,0.100000,0.316228,1,0.060511,0.333638,16.736111,13.388889
16,crosil42,Crosil 42,U2E,external,outer,20250528_U2E_crosil42_external.csv,10,10,17.827953,15.557659,11.371964,3000,3000,9.800000,3.259175,98,0.074563,0.331425,8.750000,7.000000
16,crosil42,Crosil 42,U2E,internal,inner,20250523_U2E_crosil42_internal.csv,10,10,11.608821,1.433090,11.057889,3000,3000,2.200000,2.440401,22,0.063430,0.247686,8.125000,6.500000
17,crosil42,Crosil 42,T1E,external,outer,20250428_T1E_crosil42_external.csv,10,10,5.338727,0.539089,5.432891,2790,3000,0.400000,0.843274,4,0.068535,0.221171,5.000000,4.000000
17,crosil42,Crosil 42,T1E,internal,inner,20250425_T1E_crosil42_internal.csv,10,10,4.323833,0.670416,4.498722,3000,3000,0.000000,0.000000,0,0.074066,0.226747,8.750000,7.000000
18,crosil42,Crosil 42,T2E,external,outer,20250409_T2E_crosil42_external.csv,11,11,8.323313,1.169585,8.256953,1335,3000,2.727273,3.003029,30,0.070025,0.353523,7.407407,5.925926
18,crosil42,Crosil 42,T2E,internal,inner,20250411_T2E_crosil42_internal.csv,10,10,4.569242,0.494255,4.404780,3000,3000,0.000000,0.000000,0,0.073660,0.231401,10.128205,8.102564
19,crosil42,Crosil 42,C1EN,external,outer,20250519_C1EN_crosil42_external.csv,10,10,6.444595,0.809547,6.166430,3000,3000,0.200000,0.632456,2,0.091679,0.529021,8.750000,7.000000
19,crosil42,Crosil 42,C1EN,internal,inner,20250519_C1EN_crosil42_internal.csv,10,10,7.976518,2.318489,7.168197,3000,3000,2.000000,2.788867,20,0.075176,0.325114,8.750000,7.000000
20,crosil42,Crosil 42,T1EN,external,outer,20250514_T1EN_crosil42_external.csv,10,10,8.449285,0.735354,8.483802,3000,3000,0.500000,0.971825,5,0.067037,0.280153,30.000000,24.000000
20,crosil42,Crosil 42,T1EN,internal,inner,20250514_T1EN_crosil42_internal_dup1.csv,10,10,10.837636,1.470708,11.166750,3000,3000,5.700000,4.270051,57,0.068645,0.220801,30.000000,24.000000
21,crosil42,Crosil 42,T2EN,external,outer,20250523_T2EN_crosil42_external.csv,10,10,8.287777,0.822627,8.034702,3000,3000,3.900000,3.107339,39,0.072188,0.494376,5.000000,4.000000
21,crosil42,Crosil 42,T2EN,internal,inner,20250523_T2EN_crosil42_internal.csv,10,10,8.555909,0.452762,8.647422,3000,3000,0.200000,0.421637,2,0.068316,0.279363,8.750000,7.000000
