figure,liner,liner_label,sealant,side,side_label,dataset_file,replicate,total_replicates_in_file,valid_release_window,mean_release_cN_25mm,sd_trace_cN_25mm,n_samples_50_200mm,disp_min_used_mm,disp_max_used_mm,peak_count_1p4cN,max_abs_residual_cN_25mm,noise_std_cN_25mm,noise_max_abs_cN_25mm,noise_samples,instrument_peak_hz,filter_cutoff_hz
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_1,10,1,5.001507,0.263820,3000,50.031130,199.981300,0,0.896660,0.062424,0.184488,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_2,10,1,4.652510,0.370475,3000,50.031250,199.981300,0,0.378987,0.062838,0.132541,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_3,10,1,5.170825,0.352355,3000,50.031250,199.981300,0,0.512603,0.080701,0.198917,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_4,10,1,4.692421,0.668156,3000,50.031250,199.981300,2,3.413760,0.071785,0.184355,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_5,10,1,4.921843,0.436017,3000,50.031250,199.981300,0,1.256050,0.066428,0.143627,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_6,10,1,4.894657,0.346334,3000,50.031250,199.981300,0,1.026754,0.067733,0.168985,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_7,10,1,4.503880,0.335297,3000,50.031250,199.981400,0,0.329502,0.113587,0.273739,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_8,10,1,5.246594,0.263357,3000,50.031250,199.981300,0,0.953476,0.062293,0.134440,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_9,10,1,4.774629,0.368680,3000,50.031250,199.981300,0,0.372207,0.058156,0.135106,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,external,outer,20250617_C1E_dolpap_external.csv,1_10,10,1,4.834696,0.122993,3000,50.031250,199.981300,0,0.310769,0.054656,0.139594,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_1,10,1,4.905367,0.335331,3000,50.031250,199.981300,0,0.473298,0.069199,0.169121,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_2,10,1,4.955317,0.283282,3000,50.031250,199.981300,0,0.355857,0.053776,0.122840,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_3,10,1,4.804989,0.190509,3000,50.031250,199.981300,0,0.318000,0.052965,0.167538,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_4,10,1,4.857330,0.334094,3000,50.031250,199.981300,0,0.399379,0.067556,0.153450,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_5,10,1,5.003042,0.324341,3000,50.031250,199.981300,0,0.368083,0.134050,0.344921,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_6,10,1,5.089320,0.427447,3000,50.031250,199.981300,0,0.454047,0.091844,0.210274,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_7,10,1,5.061665,0.445973,3000,50.031250,199.981300,0,0.585626,0.073656,0.234531,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_8,10,1,5.243376,0.270457,3000,50.031130,199.981300,0,0.323317,0.060496,0.152101,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_9,10,1,5.158102,0.274895,3000,50.031130,199.981300,0,0.397645,0.072888,0.180793,80,8.750000,7.000000
1,dolpap,Dolpap,C1E,internal,inner,20250617_C1E_dolpap_internal.csv,1_10,10,1,5.258105,0.297133,3000,50.031380,199.981300,0,0.419805,0.077547,0.209526,80,8.750000,7.000000
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,1_1,10,1,8.896829,1.109245,3000,50.031000,199.981000,4,5.309981,0.109727,0.248024,80,5.000000,4.000000
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,1_2,10,1,7.601583,0.512071,3000,50.031000,199.981100,0,0.821863,0.053030,0.145369,80,5.000000,4.000000
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,1_3,10,1,11.502631,8.022904,3000,50.031000,199.981000,10,63.652773,0.052750,0.140724,80,5.000000,4.000000
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,1_4,10,1,8.045391,0.620239,3000,50.031000,199.981100,1,1.662658,0.037569,0.088468,80,5.000000,4.000000
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,1_5,10,1,7.620139,0.230714,3000,50.031000,199.981000,0,0.680991,0.064422,0.157779,80,5.000000,4.000000
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,1_6,10,1,10.095511,2.559720,3000,50.031000,199.981000,14,8.724037,0.061712,0.195264,80,5.000000,4.000000
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,1_7,10,1,7.433388,0.334176,3000,50.031000,199.981000,1,1.646242,0.063863,0.158376,80,5.000000,4.000000
