figure,sealant,liner_label,side_label,dataset_file,n_replicates,mean_release_cN_25mm_mean,mean_release_cN_25mm_sd,noise_std_cN_25mm_median,noise_max_abs_cN_25mm_max,peak_count_0p5cN_mean,peak_count_0p5cN_sum,peak_count_1cN_mean,peak_count_1cN_sum,peak_count_1p4cN_mean,peak_count_1p4cN_sum,peak_count_2cN_mean,peak_count_2cN_sum,peak_count_3cN_mean,peak_count_3cN_sum
9,U2E,Rossella,outer,20250602_U2E_rossella_external.csv,10,238.440515,73.869760,0.058967,0.244716,12.500000,125,12.400000,124,12.300000,123,12.100000,121,12.100000,121
16,U2E,Crosil 42,outer,20250528_U2E_crosil42_external.csv,10,17.827953,15.557659,0.074563,0.331425,16.700000,167,13.100000,131,9.800000,98,7.800000,78,4.600000,46
13,T1EN,Rossella,outer,20250512_T1EN_rossella_external.csv,10,25.924935,9.258342,0.055697,0.191844,17.500000,175,11.600000,116,7.700000,77,5.400000,54,2.900000,29
20,T1EN,Crosil 42,inner,20250514_T1EN_crosil42_internal_dup1.csv,10,10.837636,1.470708,0.068645,0.220801,17.900000,179,8.400000,84,5.700000,57,2.800000,28,1.300000,13
8,C1E,Rossella,inner,20250318_C1E_rossella_internal.csv,5,10.547502,0.536058,0.038772,0.164284,34.800000,174,12.600000,63,5.600000,28,1.000000,5,0.200000,1
10,T1E,Rossella,inner,20250417_T1E_rossella_internal.csv,10,8.976990,0.832287,0.080275,0.568216,14.100000,141,8.400000,84,5.600000,56,4.000000,40,2.000000,20
8,C1E,Rossella,outer,20250318_C1E_rossella_external.csv,10,12.478882,1.559123,0.080374,0.932549,41.400000,414,12.300000,123,4.300000,43,1.200000,12,0.400000,4
21,T2EN,Crosil 42,outer,20250523_T2EN_crosil42_external.csv,10,8.287777,0.822627,0.072188,0.494376,16.400000,164,6.800000,68,3.900000,39,1.600000,16,0.600000,6
4,T2E,Dolpap,inner,20250507_T2E_dolpap_internal.csv,10,7.042857,0.722838,0.065156,0.230707,8.600000,86,4.600000,46,3.700000,37,2.100000,21,0.800000,8
2,U2E,Dolpap,outer,20250602_U2E_dolpap_external.csv,10,8.380429,1.387209,0.058048,0.248024,6.700000,67,4.200000,42,3.200000,32,2.300000,23,1.100000,11
