figure,liner,sealant,external_file,internal_file,external_total_n,internal_total_n,external_shown_n,internal_shown_n,external_ended_before_50mm,internal_ended_before_50mm,external_truncated_before_200mm,internal_truncated_before_200mm,y_axis_mode,y_axis_min_cN_25mm,y_axis_max_cN_25mm,full_range_y_axis_min_cN_25mm,full_range_y_axis_max_cN_25mm,observed_min_cN_25mm,observed_max_cN_25mm,external_observed_min_cN_25mm,external_observed_max_cN_25mm,internal_observed_min_cN_25mm,internal_observed_max_cN_25mm,external_fraction_above_30cN,internal_fraction_above_30cN,external_display_mode,internal_display_mode,outlier_sides,png_path,pdf_path
1,Dolpap,C1E,20250617_C1E_dolpap_external.csv,20250617_C1E_dolpap_internal.csv,10,10,10,10,0,0,0,0,shared_normal_0_30,0.000,30.000,0.000,30.000,3.682,9.038,3.682,9.038,4.058,6.274,0.000000,0.000000,comparison_only,comparison_only,,figures/release_curves/png/S01_dolpap_C1E_release_curves.png,figures/release_curves/pdf/S01_dolpap_C1E_release_curves.pdf
2,Dolpap,U2E,20250602_U2E_dolpap_external.csv,20250602_U2E_dolpap_internal.csv,10,10,10,10,0,0,0,0,shared_0_30_with_full_range_panels,0.000,30.000,0.000,90.000,6.274,81.367,6.583,81.367,6.274,9.881,0.002600,0.000000,comparison_and_full_range,comparison_only,external,figures/release_curves/png/S02_dolpap_U2E_release_curves.png,figures/release_curves/pdf/S02_dolpap_U2E_release_curves.pdf
3,Dolpap,T1E,20250430_T1E_dolpap_external.csv,20250505_T1E_dolpap_internal.csv,10,10,10,10,0,0,1,3,shared_normal_0_30,0.000,30.000,0.000,30.000,-0.283,17.533,4.539,17.533,-0.283,12.256,0.000000,0.000000,comparison_only,comparison_only,,figures/release_curves/png/S03_dolpap_T1E_release_curves.png,figures/release_curves/pdf/S03_dolpap_T1E_release_curves.pdf
4,Dolpap,T2E,20250509_T2E_dolpap_external.csv,20250507_T2E_dolpap_internal.csv,10,10,10,10,0,0,0,0,shared_0_30_with_full_range_panels,0.000,30.000,0.000,50.000,5.634,40.977,5.824,40.977,5.634,35.476,0.000867,0.001800,comparison_and_full_range,comparison_and_full_range,external; internal,figures/release_curves/png/S04_dolpap_T2E_release_curves.png,figures/release_curves/pdf/S04_dolpap_T2E_release_curves.pdf
5,Dolpap,C1EN,20250516_C1EN_dolpap_external.csv,20250519_C1EN_dolpap_internal.csv,10,10,10,10,0,0,0,1,shared_normal_0_30,0.000,30.000,0.000,30.000,2.896,15.912,4.583,15.912,2.896,15.568,0.000000,0.000000,comparison_only,comparison_only,,figures/release_curves/png/S05_dolpap_C1EN_release_curves.png,figures/release_curves/pdf/S05_dolpap_C1EN_release_curves.pdf
6,Dolpap,T1EN,20250516_T1EN_dolpap_external.csv,20250516_T1EN_dolpap_internal.csv,10,10,10,10,0,0,0,0,shared_normal_0_30,0.000,30.000,0.000,30.000,5.294,15.069,5.841,13.184,5.294,15.069,0.000000,0.000000,comparison_only,comparison_only,,figures/release_curves/png/S06_dolpap_T1EN_release_curves.png,figures/release_curves/pdf/S06_dolpap_T1EN_release_curves.pdf
7,Dolpap,T2EN,20250521_T2EN_dolpap_external.csv,20250521_T2EN_dolpap_internal.csv,10,9,10,9,0,0,0,0,shared_normal_0_30,0.000,30.000,0.000,30.000,4.583,20.491,4.583,13.462,5.082,20.491,0.000000,0.000000,comparison_only,comparison_only,,figures/release_curves/png/S07_dolpap_T2EN_release_curves.png,figures/release_curves/pdf/S07_dolpap_T2EN_release_curves.pdf
8,Rossella,C1E,20250318_C1E_rossella_external.csv,20250318_C1E_rossella_internal.csv,12,10,10,5,2,5,0,0,shared_normal_0_30,0.000,30.000,0.000,30.000,6.760,21.731,6.760,21.731,7.435,17.263,0.000000,0.000000,comparison_only,comparison_only,,figures/release_curves/png/S08_rossella_C1E_release_curves.png,figures/release_curves/pdf/S08_rossella_C1E_release_curves.pdf
9,Rossella,U2E,20250602_U2E_rossella_external.csv,20250602_U2E_rossella_internal.csv,10,10,10,10,0,0,6,0,shared_0_30_with_full_range_panels,0.000,30.000,-1.000,1090.000,-0.605,1028.613,-0.605,1028.613,8.888,11.934,0.903902,0.000000,full_range_only,comparison_only,external,figures/release_curves/png/S09_rossella_U2E_release_curves.png,figures/release_curves/pdf/S09_rossella_U2E_release_curves.pdf
10,Rossella,T1E,20250423_T1E_rossella_external.csv,20250417_T1E_rossella_internal.csv,10,10,10,10,0,0,0,0,shared_normal_0_30,0.000,30.000,0.000,30.000,6.481,26.155,6.994,11.607,6.481,26.155,0.000000,0.000000,comparison_only,comparison_only,,figures/release_curves/png/S10_rossella_T1E_release_curves.png,figures/release_curves/pdf/S10_rossella_T1E_release_curves.pdf
11,Rossella,T2E,20250416_T2E_rossella_external.csv,20250414_T2E_rossella_internal.csv,10,10,10,10,0,0,0,0,shared_0_30_with_full_range_panels,0.000,30.000,0.000,60.000,7.735,53.004,8.539,20.425,7.735,53.004,0.000000,0.003300,comparison_only,comparison_and_full_range,internal,figures/release_curves/png/S11_rossella_T2E_release_curves.png,figures/release_curves/pdf/S11_rossella_T2E_release_curves.pdf
