canonical_sample,source_sample_name,measurement_index,contact_angle_deg,contact_angle_fit_sd_deg,surface_area_mm2,surface_area_sd_mm2,temperature_C,droplet_phase,method,used_for_reported_mean
C1E,C1E,0,96.8,0.04,19.85,0.01,23.00,water,T-1,false
C1E,C1E,1,99.4,0.04,18.89,0.01,23.00,water,T-1,true
C1E,C1E,2,99.4,0.04,16.88,0.01,23.00,water,T-1,true
C1E,C1E,3,106.2,0.01,17.43,0.01,23.00,water,T-1,false
C1E,C1E,4,100.7,0.08,20.54,0.01,23.00,water,T-1,true
U2E,U2E,0,96.3,0.06,20.59,0.00,23.00,water,T-1,false
U2E,U2E,1,95.3,0.05,19.22,0.01,23.00,water,T-1,true
U2E,U2E,2,92.7,0.08,18.73,0.01,23.00,water,T-1,false
U2E,U2E,3,95.2,0.01,19.03,0.01,23.00,water,T-1,true
U2E,U2E,4,94.7,0.02,19.81,0.01,23.00,water,T-1,true
C1EN,C1EN,0,96.7,0.03,17.41,0.01,23.00,water,T-1,false
C1EN,C1EN,1,99.4,0.02,18.41,0.01,23.00,water,T-1,false
C1EN,C1EN,2,99.3,0.07,18.47,0.01,23.00,water,T-1,true
C1EN,C1EN,3,98.5,0.03,18.31,0.01,23.00,water,T-1,true
C1EN,C1EN,4,98.0,0.02,18.32,0.01,23.00,water,T-1,true
T1E,T1E,0,93.7,0.06,18.26,0.01,23.00,water,T-1,true
T1E,T1E,1,100.9,0.07,17.39,0.01,23.00,water,T-1,false
T1E,T1E,2,93.0,0.02,19.34,0.01,23.00,water,T-1,true
T1E,T1E,3,95.3,0.18,18.69,0.01,23.00,water,T-1,true
T1E,T1E,4,90.8,0.10,19.84,0.01,23.00,water,T-1,false
T2E,T2E,0,101.1,0.06,17.00,0.00,23.00,water,T-1,true
T2E,T2E,1,105.0,0.04,18.67,0.01,23.00,water,T-1,false
T2E,T2E,2,99.4,0.02,20.87,0.01,23.00,water,T-1,true
T2E,T2E,3,99.4,0.13,17.62,0.01,23.00,water,T-1,true
T2E,T2E,4,98.5,0.04,19.71,0.01,23.00,water,T-1,false
T1EN,T1EN,0,98.2,0.02,18.48,0.01,23.00,water,T-1,true
T1EN,T1EN,1,101.4,0.01,18.10,0.00,23.00,water,T-1,true
T1EN,T1EN,2,97.4,0.13,18.41,0.01,23.00,water,T-1,false
T1EN,T1EN,3,100.4,0.04,19.34,0.01,23.00,water,T-1,true
T1EN,T1EN,4,109.4,0.09,17.81,0.00,23.00,water,T-1,false
T2EN,T2EN,0,100.6,0.03,15.84,0.01,23.00,water,T-1,false
T2EN,T2EN,1,95.6,0.01,17.93,0.01,23.00,water,T-1,false
T2EN,T2EN,2,98.9,0.06,18.84,0.01,23.00,water,T-1,true
T2EN,T2EN,3,100.3,0.02,18.25,0.01,23.00,water,T-1,true
T2EN,T2EN,4,97.2,0.08,19.50,0.01,23.00,water,T-1,true
