Replicate 1_1
  samples=3000 threshold=0.050 N
  time=10.630 s | disp=52.931 mm | residual=1.7685 N (idx 58)
  time=12.970 s | disp=64.631 mm | residual=2.0348 N (idx 292)
  time=13.140 s | disp=65.481 mm | residual=-0.7977 N (idx 309)
  time=13.530 s | disp=67.431 mm | residual=0.0576 N (idx 348)
  time=13.970 s | disp=69.631 mm | residual=-0.8411 N (idx 392)
  time=14.610 s | disp=72.831 mm | residual=1.6266 N (idx 456)
  time=14.970 s | disp=74.631 mm | residual=-0.4632 N (idx 492)
  time=15.730 s | disp=78.431 mm | residual=-0.6897 N (idx 568)
  time=16.070 s | disp=80.131 mm | residual=0.0600 N (idx 602)
  time=16.280 s | disp=81.181 mm | residual=-0.5495 N (idx 623)
  time=16.800 s | disp=83.781 mm | residual=0.0599 N (idx 675)
  time=17.210 s | disp=85.831 mm | residual=-0.6529 N (idx 716)
  time=17.680 s | disp=88.181 mm | residual=2.4604 N (idx 763)
  time=18.300 s | disp=91.281 mm | residual=0.0555 N (idx 825)
  time=18.360 s | disp=91.581 mm | residual=0.1182 N (idx 831)
  time=18.800 s | disp=93.781 mm | residual=2.2932 N (idx 875)
  time=19.490 s | disp=97.231 mm | residual=1.5300 N (idx 944)
  time=19.590 s | disp=97.731 mm | residual=-0.1314 N (idx 954)
  time=19.670 s | disp=98.131 mm | residual=0.0753 N (idx 962)
  time=19.820 s | disp=98.881 mm | residual=-0.5706 N (idx 977)
  time=20.010 s | disp=99.831 mm | residual=0.1490 N (idx 996)
  time=20.340 s | disp=101.481 mm | residual=-0.9821 N (idx 1029)
  time=20.820 s | disp=103.881 mm | residual=3.0915 N (idx 1077)
  time=22.320 s | disp=111.381 mm | residual=0.1587 N (idx 1227)
  time=22.450 s | disp=112.031 mm | residual=-1.3147 N (idx 1240)
  time=24.660 s | disp=123.081 mm | residual=-4.7433 N (idx 1461)
  time=25.380 s | disp=126.681 mm | residual=0.4731 N (idx 1533)
  time=26.060 s | disp=130.082 mm | residual=-3.0473 N (idx 1601)
  time=29.050 s | disp=145.031 mm | residual=4.1386 N (idx 1900)
  time=30.850 s | disp=154.031 mm | residual=-6.7941 N (idx 2080)
  time=34.370 s | disp=171.631 mm | residual=-2.9293 N (idx 2432)
  time=36.610 s | disp=182.831 mm | residual=-7.3026 N (idx 2656)
  time=39.650 s | disp=198.031 mm | residual=5.6292 N (idx 2960)

Replicate 1_2
  samples=3000 threshold=0.050 N
  time=10.740 s | disp=53.481 mm | residual=0.1364 N (idx 69)
  time=13.260 s | disp=66.082 mm | residual=0.6882 N (idx 321)
  time=18.590 s | disp=92.731 mm | residual=-3.4992 N (idx 854)
  time=19.670 s | disp=98.131 mm | residual=4.0593 N (idx 962)
  time=21.560 s | disp=107.581 mm | residual=-0.9055 N (idx 1151)
  time=22.200 s | disp=110.781 mm | residual=3.1072 N (idx 1215)
  time=24.090 s | disp=120.231 mm | residual=2.8486 N (idx 1404)
  time=25.280 s | disp=126.181 mm | residual=-5.1819 N (idx 1523)
  time=27.520 s | disp=137.381 mm | residual=-2.9319 N (idx 1747)
  time=28.300 s | disp=141.281 mm | residual=2.9680 N (idx 1825)
  time=31.740 s | disp=158.481 mm | residual=3.9661 N (idx 2169)
  time=32.960 s | disp=164.581 mm | residual=-8.3656 N (idx 2291)
  time=34.000 s | disp=169.781 mm | residual=0.2700 N (idx 2395)
  time=34.450 s | disp=172.031 mm | residual=-7.2163 N (idx 2440)
  time=37.120 s | disp=185.381 mm | residual=1.4554 N (idx 2707)
  time=39.760 s | disp=198.581 mm | residual=-0.2258 N (idx 2971)

Replicate 1_3
  samples=1658 threshold=0.050 N
  time=10.050 s | disp=50.031 mm | residual=-9.0512 N (idx 0)
  time=11.520 s | disp=57.381 mm | residual=2.8479 N (idx 147)
  time=13.010 s | disp=64.831 mm | residual=-0.1739 N (idx 296)
  time=13.110 s | disp=65.331 mm | residual=0.1359 N (idx 306)
  time=13.840 s | disp=68.981 mm | residual=-1.4507 N (idx 379)
  time=14.840 s | disp=73.981 mm | residual=1.5330 N (idx 479)
  time=15.370 s | disp=76.631 mm | residual=-0.7362 N (idx 532)
  time=15.840 s | disp=78.981 mm | residual=0.5766 N (idx 579)
  time=16.280 s | disp=81.181 mm | residual=-2.7906 N (idx 623)
  time=18.380 s | disp=91.681 mm | residual=2.8879 N (idx 833)
