liner,sealant,side,table_value,n,mean_cN_25mm,sd_cN_25mm,status
Dolpap,C1E,inner,5.0 ± 0.2,10,5.033661,0.156575,MATCHES_CANONICAL_GENERATOR
Dolpap,U2E,inner,7.9 ± 0.7,10,7.926349,0.728844,MATCHES_CANONICAL_GENERATOR
Dolpap,T1E,inner,6.0 ± 0.7,10,6.012038,0.747148,MATCHES_CANONICAL_GENERATOR
Dolpap,T2E,inner,7.0 ± 0.7,10,7.042857,0.722838,MATCHES_CANONICAL_GENERATOR
Dolpap,C1EN,inner,6.6 ± 1.3,10,6.550350,1.272429,MATCHES_CANONICAL_GENERATOR
Dolpap,T1EN,inner,7.2 ± 1.3,10,7.210816,1.281480,MATCHES_CANONICAL_GENERATOR
Dolpap,T2EN,inner,7.2 ± 0.5,9,7.247910,0.531559,MATCHES_CANONICAL_GENERATOR
Dolpap,C1E,outer,4.9 ± 0.2,10,4.869356,0.230006,MATCHES_CANONICAL_GENERATOR
Dolpap,U2E,outer,8.4 ± 1.4,10,8.380429,1.387209,MATCHES_CANONICAL_GENERATOR
Dolpap,T1E,outer,5.4 ± 0.3,10,5.372958,0.266092,MATCHES_CANONICAL_GENERATOR
Dolpap,T2E,outer,7.0 ± 0.3,10,6.997192,0.337692,MATCHES_CANONICAL_GENERATOR
Dolpap,C1EN,outer,7.5 ± 0.5,10,7.477067,0.471688,MATCHES_CANONICAL_GENERATOR
Dolpap,T1EN,outer,8.4 ± 0.9,10,8.354726,0.878030,MATCHES_CANONICAL_GENERATOR
Dolpap,T2EN,outer,7.6 ± 0.9,10,7.620482,0.902050,MATCHES_CANONICAL_GENERATOR
Dolpap,C1E,force ratio (inner : outer),1:1,,1.033743,,MATCHES_CANONICAL_GENERATOR
Dolpap,U2E,force ratio (inner : outer),1:1,,0.945817,,MATCHES_CANONICAL_GENERATOR
Dolpap,T1E,force ratio (inner : outer),1:1,,1.118944,,MATCHES_CANONICAL_GENERATOR
Dolpap,T2E,force ratio (inner : outer),1:1,,1.006526,,MATCHES_CANONICAL_GENERATOR
Dolpap,C1EN,force ratio (inner : outer),1:1,,0.876059,,MATCHES_CANONICAL_GENERATOR
Dolpap,T1EN,force ratio (inner : outer),1:1,,0.863082,,MATCHES_CANONICAL_GENERATOR
Dolpap,T2EN,force ratio (inner : outer),1:1,,0.951109,,MATCHES_CANONICAL_GENERATOR
Rossella,C1E,inner,10.5 ± 0.5,5,10.547502,0.536058,MATCHES_CANONICAL_GENERATOR
Rossella,U2E,inner,10.0 ± 0.3,10,10.045937,0.283603,MATCHES_CANONICAL_GENERATOR
Rossella,T1E,inner,9.0 ± 0.8,10,8.976990,0.832287,MATCHES_CANONICAL_GENERATOR
Rossella,T2E,inner,10.8 ± 1.5,10,10.778992,1.526533,MATCHES_CANONICAL_GENERATOR
Rossella,C1EN,inner,15.0 ± 3.2,10,15.027693,3.208866,MATCHES_CANONICAL_GENERATOR
Rossella,T1EN,inner,16.4 ± 4.8,10,16.449651,4.783740,MATCHES_CANONICAL_GENERATOR
